key	title	url
196	Poco: Policy composition from and for heterogeneous robot learning	https://arxiv.org/abs/2402.02511
86	Learning robotic manipulation skills using an adaptive force-impedance action space	https://arxiv.org/abs/2110.09904
22	Safety-Aware Unsupervised Skill Discovery.	
8	Don't Let Your Robot be Harmful: Responsible Robotic Manipulation via Safety-as-Policy	https://arxiv.org/abs/2411.18289
106	Learning gentle object manipulation with curiosity-driven deep reinforcement learning	https://arxiv.org/abs/1903.08542
108	Anytime safe reinforcement learning	https://arxiv.org/abs/2504.16417
115	Safeagentbench: A benchmark for safe task planning of embodied llm agents	https://arxiv.org/abs/2412.13178
116	Safe Flow Matching: Robot Motion Planning with Control Barrier Functions	https://arxiv.org/abs/2504.08661
118	Bridging the gap between learning-to-plan, motion primitives and safe reinforcement learning	https://arxiv.org/abs/2408.14063
123	Digital twin-driven reinforcement learning for obstacle avoidance in robot manipulators: A self-improving online training framework	https://arxiv.org/abs/2403.13090
124	Disturbance Observer-based Control Barrier Functions with Residual Model Learning for Safe Reinforcement Learning	https://arxiv.org/abs/2410.06570
125	Feasibility consistent representation learning for safe reinforcement learning	https://arxiv.org/abs/2405.11718
127	Implicit Safe Set Algorithm for Provably Safe Reinforcement Learning	https://arxiv.org/abs/2405.02754
131	Revisiting Safe Exploration in Safe Reinforcement learning	https://arxiv.org/abs/2409.01245
143	Contact-Rich Object Insertion: Lessons for Zero-Shot Policy Transfer	
154	A sim-to-real learning-based framework for contact-rich assembly by utilizing cyclegan and force control	
158	Disagreement-aware variable impedance control for online learning of physical human-robot cooperation tasks	
160	HiSaRL: A Hierarchical Framework for Safe Reinforcement Learning.	
161	Human-in-the-loop Learning for Safe Exploration through Anomaly Prediction and Intervention.	
164	MOPA: a Minimalist Off-Policy Approach to Safe-RL	
166	Safety Aspects of Data-Driven Control in Contact-Rich Manipulation	
171	Contactnets: Learning discontinuous contact dynamics with smooth, implicit representations	
180	Tactile object pose estimation from the first touch with geometric contact rendering	
187	Multi-Level Structure vs. End-to-End-Learning in High-Performance Tactile Robotic Manipulation.	
197	Actsafe: Active exploration with safety constraints for reinforcement learning	https://arxiv.org/abs/2410.09486
206	Abnet: Attention barriernet for safe and scalable robot learning	https://arxiv.org/abs/2406.13025
208	Assemble them all: Physics-based planning for generalizable assembly by disassembly	
209	Contextual Affordances for Safe Exploration in Robotic Scenarios	https://arxiv.org/abs/2405.06422
210	DADEE: Well-calibrated uncertainty quantification in neural networks for barriers-based robot safety	https://arxiv.org/abs/2407.00616
211	Distributionally robust constrained reinforcement learning under strong duality	https://arxiv.org/abs/2406.15788
212	Dynamic model predictive shielding for provably safe reinforcement learning	
214	FREA: Feasibility-guided generation of safety-critical scenarios with reasonable adversariality	https://arxiv.org/abs/2406.02983
216	Langevin policy for safe reinforcement learning	
220	Real-time safe control of neural network dynamic models with sound approximation	
223	Safe reinforcement learning using finite-horizon gradient-based estimation	https://arxiv.org/abs/2412.11138
227	Safety through Permissibility: Shield Construction for Fast and Safe Reinforcement Learning	https://arxiv.org/abs/2405.19414
230	Verified safe reinforcement learning for neural network dynamic models	
246	Rlif: Interactive imitation learning as reinforcement learning	https://arxiv.org/abs/2311.12996
250	Auditing robot learning for safety and compliance during deployment	
251	Combining planning, reasoning and reinforcement learning to solve industrial robot tasks	https://arxiv.org/abs/2212.03570
261	Safety-aware preference-based learning for safety-critical control	
262	Saut{\'e} rl: Almost surely safe reinforcement learning using state augmentation	
264	Smooth exploration for robotic reinforcement learning	
265	Alwayssafe: Reinforcement learning without safety constraint violations during training	
267	DESTA: A framework for safe reinforcement learning with Markov games of intervention	https://arxiv.org/abs/2110.14468
270	Model-free safe control for zero-violation reinforcement learning	
272	Safe reinforcement learning using advantage-based intervention	
276	Safe reinforcement learning using advantage-based intervention	
277	Deep reinforcement learning for contact-rich skills using compliant movement primitives	https://arxiv.org/abs/2008.13223
278	Meld: Meta-reinforcement learning from images via latent state models	https://arxiv.org/abs/2010.13957
281	Safe reinforcement learning in constrained markov decision processes	
286	Control barrier functions: Theory and applications	
289	Reward constrained policy optimization	https://arxiv.org/abs/1805.11074
290	Safe model-based reinforcement learning with stability guarantees	
291	Safe exploration in finite markov decision processes with gaussian processes	
292	Better Safe Than Sorry: Enhancing Arbitration Graphs for Safe and Robust Autonomous Decision-Making	https://arxiv.org/abs/2411.10170
298	Corn: Contact-based object representation for nonprehensile manipulation of general unseen objects	https://arxiv.org/abs/2403.10760
299	Difftactile: A physics-based differentiable tactile simulator for contact-rich robotic manipulation	https://arxiv.org/abs/2403.08716
300	Hierarchical Adaptive Motion Planning with Nonlinear Model Predictive Control for Safety-Critical Collaborative Loco-Manipulation	https://arxiv.org/abs/2411.10699
302	Learning tactile insertion in the real world	https://arxiv.org/abs/2405.00383
305	Robotic deployment on construction sites: considerations for safety and productivity impact	https://arxiv.org/abs/2404.13143
306	Sampling-Based Model Predictive Control for Contact-Rich Manipulation	
309	CALAMARI: Contact-aware and language conditioned spatial action MApping for contact-RIch manipulation	
314	Continuous control with deep reinforcement learning	https://arxiv.org/abs/1509.02971
316	Recurrent model-free rl can be a strong baseline for many pomdps	https://arxiv.org/abs/2110.05038
323	Perspectives on sim2real transfer for robotics: A summary of the r: Ss 2020 workshop	https://arxiv.org/abs/2012.03806
327	EquiContact: A Hierarchical SE (3) Vision-to-Force Equivariant Policy for Spatially Generalizable Contact-rich Tasks	https://arxiv.org/abs/2507.10961
328	SLAC: Simulation-Pretrained Latent Action Space for Whole-Body Real-World RL	https://arxiv.org/abs/2506.04147
329	Touch begins where vision ends: Generalizable policies for contact-rich manipulation	https://arxiv.org/abs/2506.13762
331	Enhancing efficiency of safe reinforcement learning via sample manipulation	
336	Conservative safety critics for exploration	https://arxiv.org/abs/2010.14497
345	Fast skill learning for variable compliance robotic assembly	https://arxiv.org/abs/1905.04427
349	Residual reinforcement learning for robot control	
94	Controlling Contact-Rich Manipulation Under Partial Observability.	
82	Combining learning from demonstration with learning by exploration to facilitate contact-rich tasks	
156	Adaptive compliant skill learning for contact-rich manipulation with human in the loop	
81	SCAPE: Learning stiffness control from augmented position control experiences	
53	Variable Impedance Control Combining Reinforcement Learning and Gaussian Process Regression	
36	A versatile door opening system with mobile manipulator through adaptive position-force control and reinforcement learning	
48	Robot air hockey: A manipulation testbed for robot learning with reinforcement learning	https://arxiv.org/abs/2405.03113
113	Robotic compliant object prying using diffusion policy guided by vision and force observations	
